experiment;time;requests;results;correctness
call-ldp-idx;78209;473;10;1
call-ldp-idx;44602;422;10;1
cnone-ldp-idx-filt;7769;57;6;0.75
cnone-ldp-idx-filt;1509;56;4;0.5
cnone-ldp-idx-filt;768;49;1;0.125
cnone-ldp-idx-filt;2765;36;14;1.75
cnone-ldp-idx-filt;7069;51;8;1
cnone-ldp-idx-filt;11088;58;66;0.673469387755102
cnone-ldp-idx-filt;1629;57;46;0.46938775510204084
cnone-ldp-idx-filt;974;50;32;0.32653061224489793
cnone-ldp-idx-filt;3369;37;198;2.020408163265306
cnone-ldp-idx-filt;9784;52;98;1
cnone-ldp-idx-filt;0;58;0;0
cnone-ldp-idx-filt;0;57;0;0
cnone-ldp-idx-filt;0;50;0;0
cnone-ldp-idx-filt;0;37;0;0
cnone-ldp-idx-filt;0;52;0;0
cnone-ldp-idx-filt;0;58;0;0
cnone-ldp-idx-filt;0;57;0;0
cnone-ldp-idx-filt;0;50;0;0
cnone-ldp-idx-filt;0;37;0;0
cnone-ldp-idx-filt;0;52;0;0
cnone-ldp-idx-filt;2339;58;15;0.75
cnone-ldp-idx-filt;743;57;3;0.15
cnone-ldp-idx-filt;661;50;3;0.15
cnone-ldp-idx-filt;842;37;4;0.2
cnone-ldp-idx-filt;1725;52;20;1
cnone-ldp-idx-filt;11188;58;33;1.1379310344827587
cnone-ldp-idx-filt;932;57;1;0.034482758620689655
cnone-ldp-idx-filt;568;50;1;0.034482758620689655
cnone-ldp-idx-filt;1723;37;2;0.06896551724137931
cnone-ldp-idx-filt;10115;52;27;0.9310344827586207
cnone-ldp-idx-filt;15411;58;1;1
cnone-ldp-idx-filt;1075;57;1;1
cnone-ldp-idx-filt;580;50;1;1
cnone-ldp-idx-filt;1866;37;1;1
cnone-ldp-idx-filt;12827;52;1;1
cnone-ldp-idx-filt;1017;58;0;0
cnone-ldp-idx-filt;742;57;10;1
cnone-ldp-idx-filt;685;50;10;1
cnone-ldp-idx-filt;1653;37;0;0
cnone-ldp-idx-filt;1725;52;10;1
cmatch-ldp-idx-filt;12504;57;6;0.75
cmatch-ldp-idx-filt;1345;56;4;0.5
cmatch-ldp-idx-filt;914;49;1;0.125
cmatch-ldp-idx-filt;3042;36;14;1.75
cmatch-ldp-idx-filt;8820;51;8;1
cmatch-ldp-idx-filt;11921;58;66;0.673469387755102
cmatch-ldp-idx-filt;1888;57;46;0.46938775510204084
cmatch-ldp-idx-filt;1024;50;32;0.32653061224489793
cmatch-ldp-idx-filt;4219;37;198;2.020408163265306
cmatch-ldp-idx-filt;10327;52;98;1
cmatch-ldp-idx-filt;6;184;71;0.5
cmatch-ldp-idx-filt;5;185;67;0.47183098591549294
cmatch-ldp-idx-filt;5;134;55;0.3873239436619718
cmatch-ldp-idx-filt;37;243;203;1.4295774647887325
cmatch-ldp-idx-filt;13;203;142;1
cmatch-ldp-idx-filt;0;74;5;0.7142857142857143
cmatch-ldp-idx-filt;7;61;3;0.42857142857142855
cmatch-ldp-idx-filt;0;54;3;0.42857142857142855
cmatch-ldp-idx-filt;3;42;3;0.42857142857142855
cmatch-ldp-idx-filt;0;72;7;1
cmatch-ldp-idx-filt;2241;58;15;0.75
cmatch-ldp-idx-filt;541;57;3;0.15
cmatch-ldp-idx-filt;355;50;3;0.15
cmatch-ldp-idx-filt;1070;37;4;0.2
cmatch-ldp-idx-filt;2015;52;20;1
cmatch-ldp-idx-filt;120069;0;0;0
cmatch-ldp-idx-filt;3469;57;1;0.034482758620689655
cmatch-ldp-idx-filt;1411;50;1;0.034482758620689655
cmatch-ldp-idx-filt;119530;0;0;0
cmatch-ldp-idx-filt;18590;52;27;0.9310344827586207
cmatch-ldp-idx-filt;120932;0;1;1
cmatch-ldp-idx-filt;4479;57;1;1
cmatch-ldp-idx-filt;2120;50;1;1
cmatch-ldp-idx-filt;119547;0;1;1
cmatch-ldp-idx-filt;22013;52;1;1
cmatch-ldp-idx-filt;7938;228;10;1
cmatch-ldp-idx-filt;10316;248;10;1
cmatch-ldp-idx-filt;11814;178;10;1
cmatch-ldp-idx-filt;30275;440;10;1
cmatch-ldp-idx-filt;21299;331;10;1
call-ldp-idx-filt;123502;0;0;0
call-ldp-idx-filt;118998;0;0;0
call-ldp-idx-filt;118689;0;0;0
call-ldp-idx-filt;118910;0;0;0
call-ldp-idx-filt;121722;0;0;0
call-ldp-idx-filt;118811;0;0;0
call-ldp-idx-filt;121297;0;0;0
call-ldp-idx-filt;118531;0;0;0
call-ldp-idx-filt;118587;0;0;0
call-ldp-idx-filt;118843;0;0;0
call-ldp-idx-filt;0;0;0;0
call-ldp-idx-filt;0;0;0;0
call-ldp-idx-filt;0;0;0;0
call-ldp-idx-filt;0;0;0;0
call-ldp-idx-filt;0;0;0;0
call-ldp-idx-filt;0;0;0;0
call-ldp-idx-filt;0;0;0;0
call-ldp-idx-filt;0;0;0;0
call-ldp-idx-filt;0;0;0;0
call-ldp-idx-filt;0;0;0;0
call-ldp-idx-filt;120392;0;10;0.5
call-ldp-idx-filt;118202;0;1;0.05
call-ldp-idx-filt;118398;0;1;0.05
call-ldp-idx-filt;118151;0;1;0.05
call-ldp-idx-filt;119431;0;19;0.95
call-ldp-idx-filt;117692;0;0;0
call-ldp-idx-filt;118493;0;0;0
call-ldp-idx-filt;123587;0;0;0
call-ldp-idx-filt;118218;0;0;0
call-ldp-idx-filt;119547;0;0;0
